Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,35632.27272727273,152.45454545454547,188.76512582379385,66,559,152.45454545454547,846,831,0.9426487670175775,1.131178520421093,64240,66,508,66747,67184,6,5,831,166.2,1.5753940414616632,5.057906866073608,0,10,2,2,2,0.000194549560546875,1.5753940414616632,0.5304202556610107,5.009242057800293,2.236930246209894,141.0,141.0,316.1643964576955
192.168.56.1,192.168.56.101,80,66,559,191.25,245.19567016296733,29796.444444444445,147.0,172.6164663189594,66,559,147.0,705,765,1.3489761196430008,2.023464179464501,64240,66,367,66747,66681,6,4,765,191.25,0.9833901672671237,2.951838731765747,0,9,2,2,2,1.1920928955078125e-05,0.9833901672671237,0.3294679853651259,2.951838731765747,1.318608851503507,117.5,117.5,495.7487239688028
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,34044.854545454546,150.36363636363637,184.5124780210123,66,559,150.36363636363637,823,831,0.9590831811045861,1.1508998173255034,64240,66,485,66747,67184,6,5,831,166.2,1.5764706865374243,5.057180166244507,0,10,2,2,2,2.09808349609375e-05,1.5764706865374243,0.5213312149047852,5.006042957305908,2.2451158652291174,137.16666666666666,137.16666666666666,317.2647163093971
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,33911.36363636364,150.1818181818182,184.15038320992883,66,559,150.1818181818182,821,831,0.9594715556975875,1.151365866837105,64240,66,483,66747,67184,6,5,831,166.2,1.5751293747527255,5.045268774032593,0,10,2,2,2,1.049041748046875e-05,1.5751293747527255,0.5211201906204224,5.001757383346558,2.238810351617353,136.83333333333334,136.83333333333334,317.00940200248294
192.168.56.1,192.168.56.101,80,66,559,191.25,245.19567016296733,31189.344444444443,149.7,176.6050521486983,66,559,149.7,732,765,1.3525120954235503,2.0287681431353257,64240,66,394,66747,66681,6,4,765,191.25,0.9739648933010423,2.9257917404174805,0,9,2,2,2,5.5789947509765625e-05,0.9739648933010423,0.32860663202073837,2.9257917404174805,1.3049330593455102,122.0,122.0,506.17765171226375
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,31753.29090909091,147.0909090909091,178.19453108636895,66,559,147.0909090909091,787,831,0.9598902957410416,1.1518683548892499,64240,66,449,66747,67188,6,5,831,166.2,1.5741505475136695,5.042232275009155,0,10,2,2,2,1.2636184692382812e-05,1.5741505475136695,0.520892858505249,4.998746871948242,2.2373636972926043,131.16666666666666,131.16666666666666,310.62049970180107
192.168.56.1,192.168.56.101,80,66,559,191.25,245.19567016296733,41590.944444444445,170.77777777777777,203.93858007852376,66,559,170.77777777777777,772,765,0.7908423548160439,0.988552943520055,64240,66,500,66246,66678,5,4,765,191.25,1.7623989590407216,5.036961793899536,0,8,2,2,1,7.152557373046875e-06,1.7623989590407216,0.6322372555732727,4.993802309036255,2.5149973373596244,154.4,154.4,303.8811748380649
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,30468.890909090907,145.0909090909091,174.55340417502865,66,559,145.0909090909091,765,831,0.9436718250770734,1.132406190092488,64240,66,427,66747,67188,6,5,831,166.2,1.5717568658714147,5.051628828048706,0,10,2,2,2,3.3855438232421875e-05,1.5717568658714147,0.5298452138900757,4.999041795730591,2.233705887506183,127.5,127.5,301.22004656460183
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,29483.47272727273,143.45454545454547,171.70752088150573,66,559,143.45454545454547,747,831,0.960529759951377,1.1526357119416524,64240,66,409,66747,67188,6,5,831,166.2,1.5761039679301856,5.052829265594482,0,10,2,2,2,7.62939453125e-06,1.5761039679301856,0.5205460786819458,5.004213809967041,2.243575153437484,124.5,124.5,303.14319224065457
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,37315.87272727273,154.54545454545453,193.17316772075964,66,559,154.54545454545453,869,831,0.9609959247011391,1.1531951096413668,64240,66,531,66747,67184,6,5,831,166.2,1.5753996578989158,5.0505828857421875,0,10,2,2,2,8.821487426757812e-06,1.5753996578989158,0.5202935695648193,5.001946210861206,2.242575259325517,144.83333333333334,144.83333333333334,326.7386143983873
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,29377.618181818183,143.27272727272728,171.39900286121323,66,559,143.27272727272728,745,831,0.9611941299999441,1.153432955999933,64240,66,407,66747,67188,6,5,831,166.2,1.5747154639623278,5.047121047973633,0,10,2,2,2,2.2649765014648438e-05,1.5747154639623278,0.5201862812042236,4.999906301498413,2.2407559744599292,124.16666666666667,124.16666666666667,302.96838977598236
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,31572.963636363635,146.8181818181818,177.68782635949947,66,559,146.8181818181818,784,831,0.9601269015384083,1.1521522818460899,64240,66,446,66747,67188,6,5,831,166.2,1.5751403516572375,5.044742584228516,0,10,2,2,2,4.482269287109375e-05,1.5751403516572375,0.5207644939422608,5.0015342235565186,2.2388620314047074,130.66666666666666,130.66666666666666,310.1209891969059
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,28606.890909090907,141.9090909090909,169.1357174256547,66,559,141.9090909090909,730,831,0.7168882808713065,0.8602659370455679,64240,66,392,66747,67188,6,5,831,166.2,1.6292043526424687,5.045830011367798,0,10,2,2,2,2.2649765014648438e-05,1.6292043526424687,0.6974587440490723,5.003666877746582,2.204920117839626,121.66666666666667,121.66666666666667,223.81252128802188
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,29590.054545454546,143.63636363636363,172.01759952241673,66,559,143.63636363636363,749,831,0.962093069174662,1.1545116830095943,64240,66,411,66747,67188,6,5,831,166.2,1.5781706058168865,5.05171012878418,0,10,2,2,2,1.5735626220703125e-05,1.5781706058168865,0.5197002410888671,5.009499549865723,2.243758884693965,124.83333333333333,124.83333333333333,304.02140985919317
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,28910.272727272728,142.45454545454547,170.0302112192793,66,559,142.45454545454547,736,831,0.716874925330941,0.8602499103971292,64240,66,398,66747,67188,6,5,831,166.2,1.6263211662582804,5.04118013381958,0,10,2,2,2,2.6941299438476562e-05,1.6263211662582804,0.6974717378616333,4.998942613601685,2.200143807461597,122.66666666666667,122.66666666666667,224.6686015987169
192.168.56.1,192.168.56.101,80,66,559,149.5,200.63873005977683,37772.769230769234,164.0,194.35217835354774,66,568,164.0,1399,897,0.7844963288550809,1.045995105140108,64240,66,568,67751,67691,8,6,897,149.5,1.4306669320687386,5.060007095336914,0,13,3,2,2,3.552436828613281e-05,1.4306669320687386,0.5883245651538556,5.000988483428955,1.8872622514984017,174.875,174.875,300.200595175211
192.168.56.1,192.168.56.101,80,66,559,191.25,245.19567016296733,34411.52777777778,159.55555555555554,185.50344411298076,66,559,159.55555555555554,671,765,0.7853931947822138,0.9817414934777673,64240,66,399,66246,66681,5,4,765,191.25,1.7534098130573468,5.017839193344116,0,8,2,2,1,2.6464462280273438e-05,1.7534098130573468,0.6366237998008728,4.975832462310791,2.496455742218655,134.2,134.2,281.95615692681474
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,31935.254545454547,147.36363636363637,178.7043775218015,66,559,147.36363636363637,790,831,0.9629576093346027,1.1555491312015234,64240,66,452,66747,67188,6,5,831,166.2,1.574546572413807,5.061701774597168,0,10,2,2,2,1.9550323486328125e-05,1.574546572413807,0.5192336559295654,4.999065160751343,2.2496927061390903,131.66666666666666,131.66666666666666,312.1908569462782
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,32869.61818181818,148.72727272727272,181.29980193540803,66,559,148.72727272727272,805,831,0.7178346282286611,0.8614015538743933,64240,66,467,66747,67184,6,5,831,166.2,1.6261978676295796,5.040178060531616,0,10,2,2,2,4.029273986816406e-05,1.6261978676295796,0.6965392589569092,4.9973907470703125,2.201042603818086,134.16666666666666,134.16666666666666,234.8754903564179
