Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,29430.454545454544,143.36363636363637,171.5530662665478,66,559,143.36363636363637,746,831,0.9100608681143122,1.0920730417371747,64240,66,408,66747,67188,6,5,831,166.2,1.712978611614862,5.468051910400391,0,10,2,2,2,1.7881393432617188e-05,1.712978611614862,0.549413800239563,5.42449426651001,2.442514629475552,124.33333333333333,124.33333333333333,287.03319780325404
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,29536.672727272726,143.54545454545453,171.8623656513337,66,559,143.54545454545453,748,831,0.8909824538461417,1.06917894461537,64240,66,410,66747,67188,6,5,831,166.2,1.7089050516723834,5.466860294342041,0,10,2,2,2,1.4781951904296875e-05,1.7089050516723834,0.5611782789230346,5.423415184020996,2.42952462789856,124.66666666666667,124.66666666666667,281.3722589246116
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,35069.218181818185,151.72727272727272,187.26777133777767,66,559,151.72727272727272,838,831,0.9104737089706549,1.092568450764786,64240,66,500,66747,67184,6,5,831,166.2,1.7053231491444913,5.460089206695557,0,10,2,2,2,2.4080276489257812e-05,1.7053231491444913,0.5491646766662598,5.402329444885254,2.4383133337063683,139.66666666666666,139.66666666666666,303.91612405440463
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,41392.163636363635,159.1818181818182,203.450641769358,66,582,159.1818181818182,920,831,0.8902793088146589,1.0683351705775905,64240,66,582,66747,67184,6,5,831,166.2,1.7041781023886369,5.458295106887817,0,10,2,2,2,2.3126602172851562e-05,1.7041781023886369,0.5616214990615844,5.40999436378479,2.424237561662982,153.33333333333334,153.33333333333334,311.77581394689355
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,34179.07272727273,150.54545454545453,184.87583056547095,66,559,150.54545454545453,825,831,0.9117485700562343,1.094098284067481,64240,66,487,66747,67184,6,5,831,166.2,1.7058401107808503,5.45111083984375,0,10,2,2,2,1.2636184692382812e-05,1.7058401107808503,0.5483968019485473,5.40311861038208,2.434172975735704,137.5,137.5,301.9711264026248
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,37770.89090909091,155.0909090909091,194.34734603047943,66,559,155.0909090909091,875,831,0.8915735148990183,1.0698882178788218,64240,66,537,66747,67184,6,5,831,166.2,1.6969413085833236,5.436794757843018,0,10,2,2,2,7.62939453125e-06,1.6969413085833236,0.5608062505722046,5.388772964477539,2.4129546138539593,145.83333333333334,145.83333333333334,304.20488328354503
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,28408.272727272728,141.54545454545453,168.54753847883015,66,559,141.54545454545453,726,831,0.9107852171468145,1.0929422605761774,64240,66,388,66747,67188,6,5,831,166.2,1.7067625275765244,5.464089870452881,0,10,2,2,2,2.8848648071289062e-05,1.7067625275765244,0.5489768505096435,5.40624737739563,2.440753223722866,121.0,121.0,283.618516619518
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,36572.05454545454,153.63636363636363,191.23821413476583,66,559,153.63636363636363,859,831,0.8905377812889025,1.068645337546683,64240,66,521,66747,67184,6,5,831,166.2,1.7087748482093392,5.4667649269104,0,10,2,2,2,1.33514404296875e-05,1.7087748482093392,0.5614584922790528,5.423157215118408,2.4290464748070986,143.16666666666666,143.16666666666666,301.00177007564906
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,27055.29090909091,138.9090909090909,164.48492608470514,66,559,138.9090909090909,697,831,0.9124698524973429,1.0949638229968115,64240,66,359,66747,67188,6,5,831,166.2,1.7128184815779035,5.4659929275512695,0,10,2,2,2,5.9604644775390625e-06,1.7128184815779035,0.547963309288025,5.42258358001709,2.4429672784797547,116.16666666666667,116.16666666666667,278.850786923188
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,38232.454545454544,155.63636363636363,195.53121117983835,66,559,155.63636363636363,881,831,0.8916765497263278,1.0700118596715935,64240,66,543,66747,67184,6,5,831,166.2,1.7089827534531823,5.466612815856934,0,10,2,2,2,2.2172927856445312e-05,1.7089827534531823,0.5607414484024048,5.423101902008057,2.4296780993225147,146.83333333333334,146.83333333333334,305.31005062629464
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,44828.41818181818,162.72727272727272,211.72722588703178,66,621,162.72727272727272,959,831,0.9113053465977097,1.0935664159172516,64240,66,621,66747,67180,6,5,831,166.2,1.7122890249816594,5.464960813522339,0,10,2,2,2,4.76837158203125e-06,1.7122890249816594,0.5486635208129883,5.42177414894104,2.441590210407839,159.83333333333334,159.83333333333334,326.24731408198005
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,52319.25454545455,169.63636363636363,228.73402577110068,66,697,169.63636363636363,1035,831,0.8910295842018862,1.0692355010422634,64240,66,697,66747,67180,6,5,831,166.2,1.7067846207575013,5.460859060287476,0,10,2,2,2,3.4332275390625e-05,1.7067846207575013,0.5611485958099365,5.417192220687866,2.426082559997306,172.5,172.5,332.5322408241439
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,32057.47272727273,147.54545454545453,179.0460072921838,66,559,147.54545454545453,792,831,0.9061992325390182,1.0874390790468218,64240,66,454,66747,67188,6,5,831,166.2,1.7044907622300178,5.4502480030059814,0,10,2,2,2,4.124641418457031e-05,1.7044907622300178,0.5517550468444824,5.4024152755737305,2.4300567727196674,132.0,132.0,294.1522708821653
192.168.56.1,192.168.56.101,80,66,559,191.25,245.19567016296733,34592.11111111111,159.88888888888889,185.98954570381397,66,559,159.88888888888889,674,765,0.7328570893782781,0.9160713617228476,64240,66,402,66246,66681,5,4,765,191.25,1.903038027939595,5.440056562423706,0,8,2,2,1,0.0001239776611328125,1.903038027939595,0.6822612583637238,5.3918678760528564,2.717031932342958,134.8,134.8,263.6453379038355
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,32679.47272727273,148.45454545454547,180.77464625127254,66,559,148.45454545454547,802,831,0.7420566592971191,0.890467991156543,64240,66,464,66747,67184,6,5,831,166.2,1.7090409612412727,5.450820446014404,0,10,2,2,2,1.0251998901367188e-05,1.7090409612412727,0.6738029956817627,5.40256929397583,2.3594997718059405,133.66666666666666,133.66666666666666,242.3557049264391
192.168.56.1,192.168.56.101,80,66,559,166.2,219.6091983501602,42593.87272727273,160.45454545454547,206.3828305050416,66,596,160.45454545454547,934,831,0.8969916345446177,1.0763899614535413,64240,66,596,66747,67180,6,5,831,166.2,1.7028535816710806,5.450860500335693,0,10,2,2,2,3.552436828613281e-05,1.7028535816710806,0.5574187994003296,5.402662515640259,2.424413583082942,155.66666666666666,155.66666666666666,316.63804699425003
