Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.0.107,172.64.155.209,443,66,6980,789.3267716535433,1383.7057448931857,1117628.834872467,843.6318681318681,1057.1796606407386,66,6980,843.6318681318681,260134,200489,29.111622479946966,33.46690458324612,64240,66,1454,413771,69862,292,254,200489,789.3267716535433,0.12486051376181108,2.040121555328369,0,545,202,2,0,5.245208740234375e-06,0.12486051376181108,0.01600924325645517,2.040121555328369,0.17022325666414467,890.8698630136986,890.8698630136986,52793.23969126225
192.168.0.107,172.64.155.209,443,66,1441,448.2,599.8101366265829,284838.69696969696,394.8333333333333,533.7028170899016,66,1454,394.8333333333333,2497,2241,64.06706238524824,89.69388733934753,64240,66,1454,67339,65571,7,5,2241,448.2,0.012208145256756833,0.04466414451599121,0,11,4,2,0,4.887580871582031e-05,0.012208145256756833,0.007094838402488015,0.04097127914428711,0.016492306356694506,356.7142857142857,356.7142857142857,60709.94831626122
192.168.0.107,172.64.155.209,443,66,1441,119.8019801980198,192.1570201580978,431318.1016422841,938.8251533742331,656.7481264855531,66,1454,938.8251533742331,293957,12100,9.516194299561446,21.199442746547778,64240,66,1454,188148,67768,225,101,12100,119.8019801980198,0.5334804871956881,9.614630222320557,0,325,62,2,0,5.245208740234375e-06,0.5334804871956881,0.032656881625835715,9.614630222320557,0.6425383058554786,1306.4755555555555,1306.4755555555555,28836.61266080077
31.209.137.48,192.168.0.107,50962,66,89,74.75,11.05667219374799,129.71428571428572,79.0,11.389217958854143,66,89,79.0,333,299,0.20002857616492226,0.20002857616492226,74,66,89,296,2456,4,4,299,74.75,4.800175659376946,11.59290885925293,0,8,4,0,0,5.650520324707031e-05,4.800175659376946,2.8567346845354353,11.59290885925293,5.687991668675887,83.25,83.25,31.604515034057716
192.168.0.107,172.217.132.105,443,66,1462,529.9,656.9093375632423,317551.6736842105,391.9,563.5172345937705,66,1462,391.9,2539,5299,10.028922521309317,10.028922521309317,64240,66,1462,69069,139439,10,10,5299,529.9,0.1201347067417568,0.33292174339294434,0,19,3,3,0,7.152557373046875e-06,0.1201347067417568,0.052479794150904605,0.33287978172302246,0.13808699755306,253.9,253.9,7860.669472202243
192.168.0.107,172.217.132.105,443,66,1896,581.3333333333334,779.1456859920357,412155.5588235294,424.5,641.9934258413629,66,1896,424.5,2409,5232,8.937463597853233,8.937463597853233,64240,66,1462,68468,137602,9,9,5232,581.3333333333334,0.12674550710986282,0.3328857421875,0,17,3,3,0,1.1682510375976562e-05,0.12674550710986282,0.059235124027027804,0.33824777603149414,0.14464505035147582,267.6666666666667,267.6666666666667,7587.906594577395
192.168.0.107,20.207.73.82,443,66,14306,1451.3614457831325,1558.9875121006226,1889916.8876018196,942.6884057971015,1374.742480467458,66,14306,942.6884057971015,9628,120463,47.52865961506299,31.49489492564415,64240,66,1490,114198,71906,55,83,120463,1451.3614457831325,0.06191863735173987,0.7057034969329834,0,137,37,2,0,5.9604644775390625e-06,0.06191863735173987,0.012746823095057133,0.6305081844329834,0.10632376691774512,175.05454545454546,175.05454545454546,74494.58865039951
192.168.0.107,185.199.108.154,443,66,1470,715.0,719.4796730971626,385964.1461988304,468.42105263157896,621.2601276428662,66,1474,468.42105263157896,2465,6435,222.26319198294846,246.95910220327607,64240,66,1474,69205,67818,10,9,6435,715.0,0.003958254273572559,0.013318300247192383,0,18,3,2,0,1.3589859008789062e-05,0.003958254273572559,0.0022495852576361764,0.011390447616577148,0.005172109133408327,246.5,246.5,219793.6009609157
192.168.0.107,185.199.108.154,443,66,2874,1132.9117647058824,674.9809141026523,533685.8514285714,839.16,730.5380561124598,66,2874,839.16,3439,38519,84.54072357952997,39.7838699197788,64240,66,1474,72889,74991,16,34,38519,1132.9117647058824,0.04404134443840025,0.32206201553344727,0,49,17,2,0,1.6450881958007812e-05,0.04404134443840025,0.008207613108109454,0.30896615982055664,0.08211667850463139,214.9375,214.9375,104328.22588087994
192.168.0.107,185.199.109.133,443,66,1470,560.4666666666667,666.5930292664833,317232.37684729067,407.6551724137931,563.2338562686823,66,1474,407.6551724137931,3415,8407,106.12204415612017,99.04724121237882,64240,66,1474,71661,69516,14,15,8407,560.4666666666667,0.00779724184292324,0.04342293739318848,0,28,10,2,0,1.4781951904296875e-05,0.00779724184292324,0.005048096179962158,0.03490734100341797,0.0129842711417201,243.92857142857142,243.92857142857142,83638.32040091018
192.168.0.107,140.82.113.26,443,66,2914,342.125,714.1815712174788,314774.2218487395,287.8857142857143,561.0474327975661,54,2914,287.8857142857143,4602,5474,2.290706537400044,2.7202140131625523,64240,54,1490,71536,66649,19,16,5474,342.125,0.9441391685797315,5.522110223770142,0,29,14,2,2,8.344650268554688e-06,0.9441391685797315,0.20543366319992962,5.522110223770142,1.2871262633618468,242.21052631578948,242.21052631578948,1442.5724419276778
192.168.0.107,163.70.143.60,443,66,2251,391.3666666666667,554.9451927413902,237661.57828954366,330.6512605042017,487.50546488172176,66,2251,330.6512605042017,31731,46964,11.29140605640152,11.103215955461494,64240,66,1446,111016,115072,118,120,46964,391.3666666666667,0.16148706309245145,1.6327297687530518,0,237,103,2,2,7.867813110351562e-06,0.16148706309245145,0.04484198968621749,1.6187705993652344,0.22683319651720674,268.90677966101697,268.90677966101697,7404.8099967376465
192.168.0.107,163.70.143.60,5222,66,829,166.0,219.58845805071564,105236.15538461538,212.65384615384616,324.4012259295815,66,1446,212.65384615384616,3537,1992,18.28025513795275,21.32696432761154,64240,66,1446,70703,68594,14,12,1992,166.0,0.052883771055554536,0.25789880752563477,0,25,9,2,2,1.4543533325195312e-05,0.052883771055554536,0.02625783920288086,0.19060850143432617,0.08247674378399016,252.64285714285714,252.64285714285714,8422.62755481173
192.168.0.107,31.209.137.10,443,66,1015,138.375,236.2845389214735,411002.65765765763,611.8108108108108,641.0948897453931,66,1506,611.8108108108108,20423,2214,2.56489469230183,3.3664242836461518,64240,66,1506,74259,67034,21,16,2214,138.375,0.8884538843635643,5.551666498184204,0,36,11,2,0,8.344650268554688e-06,0.8884538843635643,0.17327980200449625,5.345726251602173,1.2350675988187891,972.5238095238095,972.5238095238095,3628.8450718522827
